Channel_SKU,Master_SKU,SKU_Name,Channel
8806182535048,30100079, Milk & Shea Butter Oil Infused Body Lotion,Nykaa
8806182535055,30100080, Milk & Shea Butter Creamy Body Wash,Nykaa
8806182582240,30100493, Club Ryan Avocado Body Wash,Nykaa
8806182582257,30100494, Club Ryan Avocado Body Lotion,Nykaa
8806182527296,30100078, Avocado Body Lotion,Nykaa
8806182575259,30100451, All Over Perfumed Mist Baby Musk,Nykaa
BELIF00000008,60100062,belif aqua bomb Jelly cleanser _160ml,Nykaa
8806182549199,30100085,Raspberry Body Wash,Nykaa
8806182527272,30100077,Raspberry Body Lotion,Nykaa
8806182549182,30100084,Grapefruit Body Wash,Nykaa
8806182549168,30100083,Avocado Body Wash,Nykaa
8806182532665,30100108,Jeju Fresh Lotus Soothing Gel,Nykaa
8806182513275,30100106,Damyang Bamboo Fresh Soothing Gel,Nykaa
8806182565779,30100241,The Therapy Anti Aging Eye Cream,Nykaa
8806182579233,30100481, Mango Seed Moisturizing Eye Cream,Nykaa
8806182520327,30100355,Mango Seed Silk Moisturing Eye Cream,Nykaa
8806182520044,30100353, Mango Seed Cleansing Foam,Nykaa
8806182583667,30100496, Herb Day 365 Master Blending Foam Cleanser Special Set,Nykaa
8806364010684,30100508, Herb Day 365 Cleansing Foam Peach,Nykaa
8806364010646,30100512, Herb Day 365 Master Blending Foaming Cleanser - Mungbean & Mugwort ,Nykaa
8806182565649,30100061, All Clear All In One Foaming Cleanser,Nykaa
8806364010677,30100509, Herb Day 365 Acerola Cleansing Foam,Nykaa
8806364018406,30100049,Herb Day 365 Cleansing Foam Spearmint,Nykaa
THEFA00000134,30100575,Mango Seed Creamy Foaming Cleanser,Nykaa
8806182551819,30100100, Essential Damage Care Hair Serum,Nykaa
8806182551826,30100101, Essential Damage Care Hair Oil Serum,Nykaa
8806182551802,30100099, Essential Damage Care Dual Deep Treatment Pack,Nykaa
8806182561450,30100440, Dr.Schwarz Shampoo For Damaged Hair,Nykaa
8806182561467,30100441, Dr.Schwarz Hair Treatment,Nykaa
8806182575563,30100464, Rich Hand V Special Care Hand Mask,Nykaa
8806182577369,30100453, My Plant Hand Cream - Good Luck,Nykaa
8806182577376,30100454, My Plant Hand Cream - Good Job,Nykaa
8806182577383,30100455, My Plant Hand Cream - Good Day,Nykaa
8806364050260,30100154, Lovely Meex Mini Pet Hand Cream 03 White Floral,Nykaa
8806364053964,30100155, Lovely Meex  Mini Pet Hand Cream 04 Fruity Floral,Nykaa
8806182582691,30100497, Holiday Special Hand Cream Set,Nykaa
8806182563539,30100408, Daily Perfumed Hand Lotion Orchid,Nykaa
8806182576843,30100467, Daily Perfume Hand Cream Real Peach,Nykaa
8806182576836,30100466, Daily Perfume Hand Cream Grapefruit,Nykaa
8806182576850,30100468, Daily Perfume Hand Cream Avocado,Nykaa
8806182526527,30100067, Daily Perfume Hand Cream 06 Cherry Blossom,Nykaa
8806182526510,30100066, Daily Perfume Hand Cream 05 Green Tea,Nykaa
8806182526473,30100062, Daily Perfume Hand Cream 01 Rose Water,Nykaa
8806364050246,30100153,Lovely Meex Mini Pet Hand Cream 01 Baby Powder,Nykaa
8888823082019,TFSCOM00174,The Faceshop x DearPacker Go For The Glow KitÂ - White Water Peeling Pack,Nykaa
8888827082019,TFSCOM00178,The Faceshop x DearPacker Go For The Glow KitÂ - Moisture Mascream,Nykaa
8888825082019,TFSCOM00176,The Faceshop x DearPacker Go For The Glow KitÂ - Madagascar Clay Mask,Nykaa
8888824082019,TFSCOM00175,The Faceshop x DearPacker Go For The Glow KitÂ - Black Tea & Black Rose Mask,Nykaa
8888826082019,TFSCOM00177,The Faceshop x DearPacker Go For The Glow KitÂ - Black Ginseng Gold Mask,Nykaa
8806182526565,30100070,Daily Perfume Hand Cream Snowcotton,Nykaa
8806182526497,30100064,Daily Perfume Hand Cream Applepop,Nykaa
8806182526541,30100069,Daily Perfume Hand Cream 08 Acaciahoney,Nykaa
8806182526534,30100068,Daily Perfume Hand Cream 07 Macadamia,Nykaa
8806182526503,30100065,Daily Perfume Hand Cream 04 Berry Mix,Nykaa
8806182526480,30100063,Daily Perfume Hand Cream 02 Tiare,Nykaa
8888811012019,TFSCOM00131,The Face Shop Valentines Day Pouch(300gm),Nykaa
8806182583643,30100499, Yehwadam Revitalizing Travel Kit,Nykaa
8806182583650,30100500, Yehwadam Pure Brightening Travel Kit,Nykaa
THEFA00000002,TFSCOM00262, X Sukhneet: Glow Vibes Only Kit,Nykaa
THEFA00000080,TFSCOM00342, X Shreya Jain Ke Saare Must Haves Ka Kit,Nykaa
8888802112020,TFSCOM00260, X Debasree : You Dew You Kit,Nykaa
